H_avg_gs_5,H_avg_gc_5,H_avg_gd_5,H_avg_pts_5,H_avg_gs_10,H_avg_gc_10,H_avg_gd_10,H_avg_pts_10,H_ewma_gs_0.1,H_ewma_gc_0.1,H_ewma_gd_0.1,H_ewma_gs_0.2,H_ewma_gc_0.2,H_ewma_gd_0.2,H_h2h_avg_gs,H_h2h_avg_gc,H_h2h_win_rate,A_avg_gs_5,A_avg_gc_5,A_avg_gd_5,A_avg_pts_5,A_avg_gs_10,A_avg_gc_10,A_avg_gd_10,A_avg_pts_10,A_ewma_gs_0.1,A_ewma_gc_0.1,A_ewma_gd_0.1,A_ewma_gs_0.2,A_ewma_gc_0.2,A_ewma_gd_0.2,A_h2h_avg_gs,A_h2h_avg_gc,A_h2h_win_rate,diff_avg_gd_5,diff_avg_gd_10,diff_ewma_gd_0.1,diff_ewma_gd_0.2,target
1.8,1.4,0.4,1.0,1.8,1.0,0.8,1.4,1.6709870316577788,1.1388332365523208,0.5321537951054581,1.841427252451101,1.2861750618746697,0.5552521905764314,1.0,1.0,0.0,2.2,1.2,1.0,1.6,1.9,0.9,1.0,1.7,1.722893766977003,0.9415024292230442,0.7813913377539586,2.1614864859658045,0.9912309177171902,1.1702555682486144,1.0,1.0,0.0,-0.6,-0.19999999999999996,-0.2492375426485005,-0.615003377672183,
1.8,1.8,0.0,1.4,1.6,1.2,0.4,1.4,1.581776817055684,1.3268934607077914,0.25488335634789255,1.6265090968979603,1.598674875779832,0.027834221118128496,2.0,1.0,1.0,1.4,2.2,-0.8,1.4,1.5,1.6,-0.1,1.3,1.3163413714775325,1.584998717119935,-0.26865734564240235,1.4023076198562627,2.0407050986979764,-0.6383974788417135,2.0,1.0,1.0,0.8,0.5,0.5235407019902949,0.666231699959842,
1.4,0.8,0.6,1.6,1.5,1.1,0.4,1.5,1.720183999420751,1.1171290494340351,0.6030549499867159,1.612806915876913,0.980883171316156,0.6319237445607573,2.0,2.0,0.0,1.6,1.6,0.0,1.4,1.6,1.2,0.4,1.4,1.6276662910320774,1.1813002812337976,0.4463660097982798,1.7016508360564515,1.27704131116725,0.4246095248892014,2.0,2.0,0.0,0.6,0.0,0.15668894018843615,0.2073142196715559,
1.2,1.4,-0.2,0.8,0.9,1.2,-0.3,0.9,0.9631141114132593,1.6037989727546635,-0.6406848613414048,1.004169976105979,1.5543971594427157,-0.5502271833367365,1.0,2.0,0.0,0.4,1.0,-0.6,0.6,0.7,1.3,-0.6,1.0,0.6856511043934054,1.3862310744065511,-0.7005799700131461,0.4747418158816112,1.2430622277810546,-0.7683204118994437,1.0,2.0,0.0,0.39999999999999997,0.3,0.059895108671741304,0.2180932285627072,
0.6,1.0,-0.4,1.4,0.8,1.2,-0.4,1.5,0.7731476167531147,1.4577906396924862,-0.6846430229393713,0.6100502017596894,1.4141175396472954,-0.804067337887606,0.0,0.0,0.0,0.4,2.0,-1.6,0.8,1.2,1.8,-0.6,1.0,1.0422091321725069,1.925352789625756,-0.8831436574532489,0.8837001110042244,2.1201340859725826,-1.2364339749683582,0.0,0.0,0.0,1.2000000000000002,0.19999999999999996,0.19850063451387756,0.4323666370807522,
1.8,1.0,0.8,1.2,1.2,1.1,0.1,1.1,1.5258719269039545,1.2508794885124837,0.27499243839147086,1.6889274752691221,1.1027952652735868,0.5861322099955356,2.0,1.0,1.0,1.6,1.8,-0.2,1.4,1.4,1.9,-0.5,1.5,1.3919372322742454,1.6178940461115896,-0.22595681383734423,1.6345863896708857,1.7951687058260193,-0.16058231615513352,2.0,1.0,1.0,1.0,0.6,0.500949252228815,0.7467145261506691,
1.4,2.4,-1.0,1.4,1.4,1.8,-0.4,1.2,1.1703282910338675,1.631032076713712,-0.4607037856798444,1.1197612718165102,2.0325035623012124,-0.912742290484702,6.0,1.0,1.0,1.8,1.8,0.0,1.0,1.6,1.3,0.3,1.2,1.6628596501857358,1.114687091062243,0.5481725591234935,1.612486777681431,1.2450962453892787,0.3673905322921525,6.0,1.0,1.0,-1.0,-0.7,-1.0088763448033378,-1.2801328227768545,
2.0,0.4,1.6,1.6,1.9,0.8,1.1,1.5,1.9487002342438577,0.9343641733888182,1.0143360608550396,1.9875091585990752,0.7045758864050278,1.282933272194047,1.0,0.0,1.0,1.4,0.4,1.0,1.8,1.0,0.9,0.1,1.4,1.1852285333110721,0.9846608668292214,0.20056766648185057,1.427557751844603,0.7000994710481139,0.7274582807964891,1.0,0.0,1.0,0.6000000000000001,1.0,0.813768394373189,0.5554749913975578,
2.0,0.4,1.6,1.8,1.9,0.6,1.3,1.6,2.176224546810749,0.640622291281973,1.5356022555287763,2.128797639477892,0.5878323887000023,1.5409652507778895,0.0,1.0,0.0,0.8,1.6,-0.8,0.8,0.9,1.3,-0.4,1.0,0.9243245385811049,1.2314611827987476,-0.3071366442176428,0.7136241554211145,1.456896699676695,-0.7432725442555808,0.0,1.0,0.0,2.4000000000000004,1.7000000000000002,1.8427388997464191,2.2842377950334702,
0.8,1.4,-0.6,1.0,1.3,1.4,-0.1,1.3,1.2122267332254302,1.4811276121483983,-0.26890087892296877,1.139673720874377,1.4270723089313528,-0.28739858805697555,2.0,0.0,1.0,1.0,0.6,0.4,1.6,1.1,1.0,0.1,1.5,1.0950855640050137,1.2239708490345265,-0.1288852850295129,0.9586948235668926,0.9647988806233243,-0.006104057056432106,2.0,0.0,1.0,-1.0,-0.2,-0.14001559389345586,-0.2812945310005434,
