goals_+_assists,penalty_attempts,xg,npxg,progressive_receives,non_penalty_goals_per_90,non_penalty_goals_+_assists_per_90,goals
0,0,0.2,0.2,11,0.0,0.0,0
0,0,0.2,0.2,18,0.0,0.0,0
0,0,0.0,0.0,3,0.0,0.0,0
0,0,0.0,0.0,2,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
8,0,2.4,2.4,198,0.03,0.24,1
16,1,7.1,6.3,154,0.24,0.55,7
6,0,4.6,4.6,58,0.14,0.21,4
3,0,0.7,0.7,10,0.07,0.1,2
1,0,0.4,0.4,44,0.0,0.04,0
6,2,2.5,0.8,26,0.08,0.2,3
4,0,3.4,3.4,69,0.16,0.16,4
15,1,12.5,11.7,124,0.39,0.54,11
11,0,3.9,3.9,213,0.19,0.51,4
21,0,12.7,12.7,124,0.87,0.96,19
1,0,0.0,0.0,0,0.0,0.05,0
1,0,2.4,2.4,11,0.06,0.06,1
0,0,0.1,0.1,0,0.0,0.0,0
0,0,0.3,0.3,0,0.0,0.0,0
0,0,0.0,0.0,7,0.0,0.0,0
0,0,0.3,0.3,0,0.0,0.0,0
2,0,0.9,0.9,24,0.15,0.3,1
1,0,0.6,0.6,64,0.15,0.15,1
5,3,4.2,1.8,60,0.0,0.25,3
3,0,0.9,0.9,45,0.22,0.65,1
2,0,0.8,0.8,17,0.9,0.9,2
0,0,0.1,0.1,3,0.0,0.0,0
1,0,0.5,0.5,33,0.55,0.55,1
1,0,0.4,0.4,0,2.43,2.43,1
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.0,0.0,1,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
2,0,1.5,1.5,3,0.07,0.07,2
4,0,2.0,2.0,28,0.13,0.17,3
2,0,0.3,0.3,6,0.04,0.08,1
3,0,1.2,1.2,1,0.09,0.13,2
4,0,0.6,0.6,106,0.09,0.18,2
1,0,1.7,1.6,30,0.0,0.05,0
2,0,1.8,1.8,85,0.1,0.1,2
1,0,0.2,0.2,63,0.0,0.06,0
0,0,0.0,0.0,0,0.0,0.0,0
17,6,8.6,3.9,112,0.23,0.7,9
11,3,4.8,2.4,66,0.37,0.56,8
7,0,2.9,2.9,157,0.33,0.46,5
0,0,0.0,0.0,0,0.0,0.0,0
1,0,0.2,0.2,32,0.0,0.07,0
2,0,2.3,2.3,99,0.16,0.16,2
4,0,6.1,6.1,57,0.29,0.29,4
6,0,3.8,3.8,82,0.4,0.47,5
4,0,1.1,1.1,13,0.2,0.4,2
4,0,3.2,3.2,43,0.25,0.51,2
2,0,1.5,1.5,48,0.27,0.27,2
2,0,0.2,0.2,22,0.0,0.31,0
0,0,0.2,0.2,10,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
1,0,0.0,0.0,20,0.0,0.25,0
0,0,0.5,0.5,16,0.0,0.0,0
3,0,0.8,0.8,27,0.32,0.97,1
1,0,0.7,0.7,18,0.0,0.5,0
0,0,0.0,0.0,2,0.0,0.0,0
0,0,0.0,0.0,2,0.0,0.0,0
0,0,0.2,0.2,11,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.0,0.0,4,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
10,0,1.5,1.5,194,0.13,0.33,4
3,3,4.0,1.6,49,0.0,0.0,3
3,0,1.0,1.0,29,0.07,0.11,2
5,0,2.3,2.3,51,0.11,0.18,3
1,0,0.5,0.5,1,0.04,0.04,1
14,0,9.3,9.3,108,0.51,0.65,11
2,0,1.7,1.7,64,0.04,0.08,1
4,0,0.6,0.6,140,0.0,0.22,0
7,0,2.5,2.5,171,0.23,0.4,4
0,0,0.2,0.2,38,0.0,0.0,0
0,0,0.2,0.2,4,0.0,0.0,0
0,0,0.1,0.1,12,0.0,0.0,0
1,0,0.0,0.0,0,0.0,0.15,0
0,0,0.0,0.0,5,0.0,0.0,0
4,0,4.4,4.4,43,0.39,0.51,3
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
5,0,3.6,3.6,5,0.05,0.14,2
5,0,1.8,1.8,167,0.06,0.15,2
0,0,0.0,0.0,0,0.0,0.0,0
8,0,4.7,4.7,123,0.17,0.33,4
5,0,1.8,1.7,12,0.17,0.21,4
3,0,0.6,0.6,6,0.09,0.13,2
4,0,1.6,1.6,40,0.16,0.21,3
0,0,0.4,0.4,8,0.0,0.0,0
3,0,2.6,2.6,44,0.24,0.24,3
5,0,4.1,4.1,68,0.24,0.4,3
3,1,2.4,1.6,49,0.22,0.22,3
0,0,0.0,0.0,21,0.0,0.0,0
0,0,0.9,0.9,0,0.0,0.0,0
1,0,0.4,0.4,29,0.0,0.11,0
1,0,1.1,1.1,21,0.0,0.11,0
0,0,0.0,0.0,0,0.0,0.0,0
1,0,0.6,0.6,28,0.18,0.18,1
0,0,2.4,2.4,22,0.0,0.0,0
0,0,0.3,0.3,7,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.0,0.0,1,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
3,0,0.2,0.2,203,0.0,0.09,0
4,0,2.2,2.2,4,0.03,0.12,1
9,1,4.2,3.5,142,0.12,0.24,5
3,0,2.3,2.3,30,0.09,0.09,3
25,8,18.3,12.3,134,0.4,0.52,21
2,0,1.5,1.5,7,0.06,0.06,2
0,0,1.6,1.6,51,0.0,0.0,0
2,0,0.5,0.5,92,0.09,0.09,2
0,0,0.1,0.1,12,0.0,0.0,0
1,0,1.2,1.2,1,0.07,0.07,1
2,0,1.6,1.6,31,0.07,0.14,1
0,0,0.5,0.5,16,0.0,0.0,0
1,0,0.5,0.5,10,0.0,0.15,0
0,0,0.0,0.0,5,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
2,0,2.0,2.0,20,0.06,0.06,2
8,0,2.1,2.1,83,0.07,0.26,2
0,0,0.0,0.0,0,0.0,0.0,0
3,0,0.8,0.8,17,0.1,0.1,3
2,0,1.8,1.8,69,0.0,0.07,0
3,0,0.9,0.9,142,0.03,0.1,1
2,0,0.3,0.3,122,0.0,0.08,0
11,0,2.8,2.8,108,0.17,0.46,4
9,3,9.7,7.3,103,0.22,0.31,7
1,0,0.5,0.5,12,0.05,0.05,1
9,1,6.9,6.1,95,0.31,0.41,7
0,0,0.5,0.5,2,0.0,0.0,0
0,0,0.6,0.6,39,0.0,0.0,0
1,0,2.0,2.0,85,0.07,0.07,1
0,0,1.1,1.1,53,0.0,0.0,0
