HomeTeam,AwayTeam,FTR,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,HTFormPts,ATFormPts,HTGD,ATGD
Leeds,Arsenal,H,W,L,D,W,D,L,D,W,W,W,8,10,0.133333333,0.733333333
Newcastle,Liverpool,H,L,D,W,L,L,L,W,L,W,W,4,9,0.066666667,0.466666667
Arsenal,Southampton,H,L,D,W,W,W,W,D,W,L,L,10,7,0.733333333,-0.333333333
Aston Villa,Newcastle,NH,D,D,L,W,W,W,L,D,W,L,8,7,0.3125,0.125
Bradford,Coventry,H,D,L,L,L,D,D,L,L,L,L,2,1,-1.0625,-1
Ipswich,Derby,NH,W,W,W,L,W,L,W,D,D,L,12,5,0.4375,-0.8125
Leicester,Leeds,H,L,W,D,W,W,L,W,L,D,W,10,7,0.1875,0
Liverpool,Charlton,H,L,L,W,L,W,L,W,L,W,L,6,6,0.375,0
Man United,Tottenham,H,W,W,W,W,W,W,W,L,W,L,15,9,1.8125,0.0625
West Ham,Middlesbrough,H,W,W,W,D,W,D,L,L,L,L,13,1,0.25,-0.4375
Chelsea,Man City,H,L,L,D,L,W,L,L,L,L,L,4,0,0.25,-0.6875
Sunderland,Everton,H,W,W,D,L,W,W,W,W,L,L,10,9,-0.0625,-0.125
Arsenal,Newcastle,H,L,L,D,W,W,W,L,D,W,L,7,7,0.625,0.125
Bradford,Tottenham,NH,W,D,L,L,L,L,W,W,L,W,4,9,-0.941176471,-0.058823529
Charlton,Man United,NH,L,L,W,L,W,W,W,W,W,W,6,15,-0.176470588,1.823529412
Chelsea,Derby,H,W,L,L,D,L,W,L,W,D,D,4,8,0.294117647,-0.705882353
Man City,Everton,H,L,L,L,L,L,L,W,W,W,L,0,9,-0.705882353,-0.235294118
Southampton,Leeds,H,L,L,W,D,W,L,L,W,L,D,7,4,-0.411764706,-0.058823529
Sunderland,Middlesbrough,H,W,W,W,D,L,L,D,L,L,L,10,1,0.058823529,-0.470588235
West Ham,Aston Villa,NH,W,W,W,W,D,D,D,D,L,W,13,6,0.294117647,0.294117647
Coventry,Leicester,H,L,D,L,L,L,W,L,W,D,W,1,10,-1,0.294117647
Liverpool,Ipswich,NH,W,L,L,W,L,L,W,W,W,L,6,9,0.529411765,0.352941176
Aston Villa,Man City,NH,D,D,D,L,W,L,L,L,L,L,6,0,0.294117647,-0.705882353
Derby,Coventry,H,L,W,L,W,D,W,L,D,L,L,7,4,-0.833333333,-0.888888889
Everton,West Ham,NH,L,L,W,W,W,D,W,W,W,W,9,13,-0.5,0.277777778
Ipswich,Southampton,H,W,L,W,W,W,W,L,L,W,D,12,7,0.388888889,-0.333333333
Leeds,Sunderland,H,W,L,L,W,L,W,W,W,W,D,6,13,0.055555556,0.111111111
Leicester,Charlton,H,L,W,L,W,D,D,L,L,W,L,7,4,0.222222222,-0.166666667
Middlesbrough,Chelsea,H,L,L,D,L,L,W,W,L,L,D,1,7,-0.5,0.444444444
Newcastle,Bradford,H,L,D,W,L,D,D,W,D,L,L,5,5,-0.166666667,-0.888888889
Man United,Liverpool,NH,D,W,W,W,W,L,W,L,L,W,13,6,1.722222222,0.444444444
Tottenham,Arsenal,NH,D,L,W,W,L,W,W,L,L,D,7,7,-0.055555556,0.888888889
