FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,ATFormPts,HTGD,ATGD,DiffPts,DiffFormPts
H,39,22,10,21,2.25,1.4375,W,W,W,W,W,W,W,L,W,L,9,1.8125,0.0625,0.8125,0.375
H,21,19,17,26,1.3125,0.6875,W,W,W,D,W,D,L,L,L,L,1,0.25,-0.4375,0.625,0.75
H,26,17,22,28,1.0625,0.875,L,L,D,L,W,L,L,L,L,L,0,0.25,-0.6875,0.1875,0.25
H,15,19,16,21,1.4375,1.3125,W,W,D,L,W,W,W,W,L,L,9,-0.0625,-0.125,0.125,0.0625
H,23,17,13,15,1.75,1.4375,L,L,D,W,W,W,L,D,W,L,7,0.625,0.125,0.3125,0.0
NH,9,22,25,23,0.6470588235294118,1.3529411764705883,W,D,L,L,L,L,W,W,L,W,9,-0.9411764705882352,-0.0588235294117647,-0.7058823529411765,-0.2941176470588235
NH,21,41,24,10,1.2352941176470589,2.294117647058824,L,L,W,L,W,W,W,W,W,W,15,-0.1764705882352941,1.8235294117647056,-1.0588235294117647,-0.5294117647058824
H,28,19,23,31,1.1764705882352942,0.7647058823529411,W,L,L,D,L,W,L,W,D,D,8,0.2941176470588235,-0.7058823529411765,0.4117647058823529,-0.2352941176470588
H,18,19,30,23,0.8235294117647058,1.2352941176470589,L,L,L,L,L,L,W,W,W,L,9,-0.7058823529411765,-0.2352941176470588,-0.4117647058823529,-0.5294117647058824
H,21,22,28,23,1.0,1.2941176470588236,L,L,W,D,W,L,L,W,L,D,4,-0.4117647058823529,-0.0588235294117647,-0.2941176470588235,0.1764705882352941
H,17,19,16,27,1.5294117647058822,0.6470588235294118,W,W,W,D,L,L,D,L,L,L,1,0.0588235294117647,-0.4705882352941176,0.8823529411764706,0.5294117647058824
NH,22,19,17,14,1.411764705882353,1.4705882352941178,W,W,W,W,D,D,D,D,L,W,6,0.2941176470588235,0.2941176470588235,-0.0588235294117647,0.4117647058823529
