Champion,won,drawn,lost,gf,ga,points
,11,11,16,45,55,44
,11,11,16,45,61,44
,10,12,16,48,68,42
,11,8,19,44,64,41
,9,13,16,34,54,40
,9,10,19,28,58,37
,7,15,16,37,56,36
,8,9,21,28,56,33
,7,12,19,35,68,33
,6,13,19,31,56,31
,32,2,4,95,23,98
,30,7,1,89,22,97
,21,9,8,63,39,72
,23,2,13,67,39,71
,21,7,10,73,51,70
,19,9,10,65,54,66
,16,9,13,47,46,57
,15,9,14,54,46,54
,15,7,16,51,48,52
,15,7,16,52,55,52
,14,8,16,52,59,50
,14,7,17,51,53,49
,12,9,17,42,48,45
,13,6,19,56,70,45
,11,7,20,45,68,40
,9,12,17,45,65,39
,9,9,20,35,60,36
,10,4,24,34,69,34
,7,5,26,34,81,26
,3,7,28,22,76,16
,32,3,3,85,33,99
,26,3,9,102,35,81
,18,12,8,66,36,66
,20,6,12,69,54,66
,18,8,12,67,41,62
,16,11,11,61,47,59
,15,14,9,51,40,59
,14,14,10,56,48,56
,14,12,12,39,39,54
,15,9,14,43,50,54
,15,7,16,51,60,52
,13,10,15,44,56,49
,11,11,16,38,58,44
,11,10,17,31,50,43
,9,14,15,39,54,41
,10,9,19,49,62,39
,9,8,21,41,67,35
,9,7,22,40,65,34
,8,10,20,36,64,34
,5,6,27,26,75,21
,27,5,6,83,32,86
,21,11,6,73,44,74
,20,9,9,68,42,69
,19,10,9,58,36,67
,20,6,12,68,50,66
,19,8,11,62,47,65
,18,8,12,68,45,62
,18,7,13,55,39,61
,18,5,15,62,54,59
,17,8,13,47,48,59
,16,7,15,55,46,55
,12,9,17,46,62,45
,12,9,17,36,52,45
,12,8,18,41,66,44
,12,7,19,47,68,43
,9,14,15,40,46,41
,10,9,19,33,55,39
,5,13,20,27,53,28
,5,11,22,35,76,26
,7,2,29,20,63,23
,29,6,3,99,26,93
,28,8,2,94,26,92
,21,11,6,76,33,74
,22,5,11,69,40,71
,22,3,13,61,48,69
,16,10,12,57,57,58
,16,8,14,60,51,56
,14,10,14,62,59,52
,12,15,11,42,44,51
,15,6,17,38,43,51
,13,10,15,44,62,49
,11,15,12,50,46,48
,13,7,18,48,56,46
,13,6,19,52,54,45
,9,13,16,43,67,40
,11,6,21,43,66,39
,9,11,18,42,79,38
,7,14,17,34,53,35
,6,5,27,34,77,23
,5,7,26,23,84,22
,28,5,5,94,33,89
,26,6,6,88,43,84
,23,6,9,58,43,75
