age,matches_played,goals,assists,non_penalty_goals,penalty_goals_made,penalty_attempts,xg,npxg,xag,npxg_+_xag,goals_per_90,assists_per_90,goals_+_assists_per_90,non_penalty_goals_per_90,xg_per_90,xag_per_90,npxg_per_90,player_encoded,nation_encoded,position_encoded,goals_per_match,assists_per_match,combined_per_match,scoring_consistency,penalty_ratio,open_play_goal_ratio,age_squared,age_goals_interaction,age_efficiency_index,experience_factor,prime_age_indicator,goals_vs_xg,goals_vs_xg_ratio,assists_vs_xag,scoring_threat_index,total_involvement,involvement_per_90,primary_threat_ratio,match_availability,high_availability,overall_threat_score,xg_consistency,penalty_dependence
26,38,5,6,5,0,0,4.3,4.3,6.1,10.4,0.14,0.17,0.3,0.14,0.12,0.17,0.12,309,13,3,0.1282051282051282,0.15384615384615385,0.28205128205128205,0.12280701754385964,0.0,0.8333333333333334,676,130,0.09090909090909091,0.7916666666666666,1.0,0.7000000000000002,0.9433962264150944,-0.09999999999999964,0.4676792452830189,11,0.3,0.4166666666666667,1.0,1,0.40700000000000003,0.8679245283018868,0.0
32,37,1,1,1,0,0,2.0,2.0,0.9,2.8,0.03,0.03,0.05,0.03,0.05,0.02,0.05,406,32,1,0.02631578947368421,0.02631578947368421,0.05263157894736842,0.029126213592233007,0.0,0.5,1024,32,0.016853932584269662,0.7872340425531915,0.7692307692307693,-1.0,0.3333333333333333,0.09999999999999998,0.2844035087719299,2,0.05,0.3333333333333333,0.9736842105263158,1,0.2926599190283401,0.6666666666666667,0.0
24,34,23,6,19,4,4,20.3,17.2,4.3,21.6,0.75,0.2,0.95,0.62,0.66,0.14,0.56,91,95,0,0.6571428571428571,0.17142857142857143,0.8285714285714286,0.42857142857142855,0.8,0.7916666666666666,576,552,0.5136986301369864,0.7727272727272727,0.9230769230769231,2.6999999999999993,1.07981220657277,1.7000000000000002,0.8224098097356066,29,0.95,0.7666666666666667,0.8947368421052632,1,0.6312550607287449,0.8732394366197184,0.16666666666666666
32,34,4,0,4,0,0,3.7,3.7,0.4,4.1,0.12,0.0,0.12,0.12,0.11,0.01,0.11,584,91,1,0.11428571428571428,0.0,0.11428571428571428,0.10714285714285712,0.0,0.8,1024,128,0.06741573033707865,0.7727272727272727,0.7692307692307693,0.2999999999999998,0.851063829787234,-0.4,0.41866013437849947,4,0.12,0.8,0.8947368421052632,1,0.30387044534412955,0.9361702127659575,0.0
21,37,0,1,0,0,0,0.3,0.3,2.6,2.9,0.0,0.03,0.03,0.0,0.01,0.08,0.01,1866,32,1,0.0,0.02631578947368421,0.02631578947368421,0.0,0.0,0.0,441,0,0.0,0.7872340425531915,0.8076923076923077,-0.3,0.0,-1.6,0.19723684210526318,1,0.03,0.0,0.9736842105263158,1,0.284506072874494,0.7692307692307693,0.0
29,35,8,12,8,0,0,5.7,5.7,8.9,14.6,0.31,0.46,0.76,0.31,0.22,0.34,0.22,817,32,0,0.2222222222222222,0.3333333333333333,0.5555555555555556,0.23664122137404578,0.0,0.8888888888888888,841,232,0.18674698795180725,0.7777777777777778,0.8846153846153846,2.3,1.1940298507462686,3.0999999999999996,0.5865164964650432,20,0.76,0.38095238095238093,0.9210526315789473,1,0.534672064777328,0.6567164179104478,0.0
27,29,4,3,4,0,0,3.9,3.9,2.5,6.4,0.15,0.11,0.26,0.15,0.15,0.09,0.15,908,13,4,0.13333333333333333,0.1,0.23333333333333334,0.13043478260869565,0.0,0.8,729,108,0.09493670886075949,0.7435897435897436,0.9615384615384616,0.10000000000000009,0.8163265306122448,0.5,0.4058968850698174,7,0.26,0.5,0.7631578947368421,0,0.3417854251012146,0.9795918367346939,0.0
24,36,4,2,4,0,0,4.4,4.4,2.2,6.6,0.14,0.07,0.21,0.14,0.15,0.07,0.15,1686,54,3,0.10810810810810811,0.05405405405405406,0.16216216216216217,0.12280701754385964,0.0,0.8,576,96,0.09589041095890412,0.782608695652174,0.9230769230769231,-0.40000000000000036,0.7407407407407407,-0.20000000000000018,0.42412183235867446,6,0.21,0.5714285714285714,0.9473684210526315,1,0.3587813765182186,0.9259259259259258,0.0
32,28,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1429,32,2,0.0,0.0,0.0,0.0,0.0,0.0,1024,0,0.0,0.7368421052631579,0.7692307692307693,0.0,0.0,0.0,0.14736842105263157,0,0.0,0.0,0.7368421052631579,0,0.2242914979757085,1.0,0.0
19,27,0,4,0,0,0,0.4,0.4,4.3,4.7,0.0,0.16,0.16,0.0,0.02,0.18,0.02,1101,32,1,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,361,0,0.0,0.7297297297297297,0.7307692307692307,-0.4,0.0,-0.2999999999999998,0.14710526315789474,4,0.16,0.0,0.7105263157894737,0,0.2631821862348178,0.7142857142857142,0.0
26,33,9,4,9,0,0,7.2,7.2,4.0,11.2,0.46,0.21,0.67,0.46,0.37,0.2,0.37,729,32,0,0.2647058823529412,0.11764705882352941,0.38235294117647056,0.31506849315068497,0.0,0.9,676,234,0.2987012987012987,0.7674418604651163,1.0,1.7999999999999998,1.0975609756097562,0.0,0.646696405648267,13,0.67,0.6428571428571429,0.868421052631579,1,0.5206842105263159,0.7804878048780488,0.0
33,25,0,3,0,0,0,0.1,0.1,1.4,1.5,0.0,0.21,0.21,0.0,0.01,0.1,0.01,1043,32,1,0.0,0.11538461538461539,0.11538461538461539,0.0,0.0,0.0,1089,0,0.0,0.7142857142857143,0.7307692307692307,-0.1,0.0,1.6,0.13407894736842108,3,0.21,0.0,0.6578947368421053,0,0.26765587044534417,0.9090909090909091,0.0
24,32,0,2,0,0,0,1.6,1.6,2.1,3.8,0.0,0.17,0.17,0.0,0.14,0.18,0.14,905,32,4,0.0,0.06060606060606061,0.06060606060606061,0.0,0.0,0.0,576,0,0.0,0.7619047619047619,0.9230769230769231,-1.6,0.0,-0.10000000000000009,0.20342105263157895,2,0.17,0.0,0.8421052631578947,1,0.3117287449392713,0.3846153846153846,0.0
35,10,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1242,93,2,0.0,0.0,0.0,0.0,0.0,0.0,1225,0,0.0,0.5,0.6538461538461539,0.0,0.0,0.0,0.05263157894736842,0,0.0,0.0,0.2631578947368421,0,0.1180161943319838,1.0,0.0
26,25,0,0,0,0,0,0.6,0.6,0.2,0.8,0.0,0.0,0.0,0.0,0.07,0.02,0.07,1701,32,3,0.0,0.0,0.0,0.0,0.0,0.0,676,0,0.0,0.7142857142857143,1.0,-0.6,0.0,-0.2,0.1490789473684211,0,0.0,0.0,0.6578947368421053,0,0.23157894736842108,0.625,0.0
24,8,0,0,0,0,0,0.5,0.5,0.5,1.1,0.0,0.0,0.0,0.0,0.12,0.12,0.12,1768,74,1,0.0,0.0,0.0,0.0,0.0,0.0,576,0,0.0,0.4444444444444444,0.9230769230769231,-0.5,0.0,-0.5,0.07210526315789473,0,0.0,0.0,0.21052631578947367,0,0.13441295546558704,0.6666666666666667,0.0
25,10,0,1,0,0,0,0.4,0.4,0.5,0.9,0.0,0.3,0.3,0.0,0.12,0.14,0.12,1111,32,1,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,625,0,0.0,0.5,0.9615384615384616,-0.4,0.0,0.5,0.08263157894736842,1,0.3,0.0,0.2631578947368421,0,0.2387854251012146,0.7142857142857142,0.0
32,18,0,0,0,0,0,0.4,0.4,0.1,0.5,0.0,0.0,0.0,0.0,0.09,0.03,0.09,316,32,0,0.0,0.0,0.0,0.0,0.0,0.0,1024,0,0.0,0.6428571428571429,0.7692307692307693,-0.4,0.0,-0.1,0.11723684210526317,0,0.0,0.0,0.47368421052631576,0,0.1716599190283401,0.7142857142857142,0.0
29,12,0,0,0,0,0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.01,0.02,0.01,552,95,1,0.0,0.0,0.0,0.0,0.0,0.0,841,0,0.0,0.5454545454545454,0.8846153846153846,0.0,0.0,-0.1,0.06565789473684211,0,0.0,0.0,0.3157894736842105,0,0.15161943319838056,1.0,0.0
18,14,1,0,1,0,0,0.5,0.5,0.0,0.6,0.29,0.0,0.29,0.29,0.16,0.01,0.16,1103,32,3,0.06666666666666667,0.0,0.06666666666666667,0.22480620155038758,0.0,0.5,324,18,0.23770491803278687,0.5833333333333334,0.6923076923076923,0.5,0.6666666666666666,0.0,0.3485175438596491,1,0.29,0.5,0.3684210526315789,0,0.258914979757085,0.6666666666666667,0.0
30,9,0,0,0,0,0,0.5,0.5,0.3,0.8,0.0,0.0,0.0,0.0,0.3,0.15,0.3,1344,80,0,0.0,0.0,0.0,0.0,0.0,0.0,900,0,0.0,0.47368421052631576,0.8461538461538461,-0.5,0.0,-0.3,0.12236842105263157,0,0.0,0.0,0.23684210526315788,0,0.1319838056680162,0.6666666666666667,0.0
20,14,1,0,1,0,0,0.2,0.2,0.1,0.3,0.67,0.0,0.67,0.67,0.11,0.1,0.11,1905,28,0,0.06666666666666667,0.0,0.06666666666666667,0.4011976047904192,0.0,0.5,400,20,0.5153846153846154,0.5833333333333334,0.7692307692307693,0.8,0.8333333333333334,-0.1,0.5023508771929824,1,0.67,0.5,0.3684210526315789,0,0.41860728744939274,0.33333333333333326,0.0
