unnamed:_0,player,nation,position,age,matches_played,starts,minutes,90s_played,goals,assists,goals_+_assists,non_penalty_goals,penalty_goals_made,penalty_attempts,yellow_cards,red_cards,xg,npxg,xag,npxg_+_xag,progressive_carries,progressive_passes,progressive_receives,goals_per_90,assists_per_90,goals_+_assists_per_90,non_penalty_goals_per_90,non_penalty_goals_+_assists_per_90,xg_per_90,xag_per_90,xg_+_xag_per_90,npxg_per_90,npxg_+_xag_per_90,90s,xg_overperformance,age_band,player_encoded,nation_encoded,age_band_encoded
1751,Brendan Chardonnet,FRA,DF,29,27,27,2416,26.8,1,0,1,1,0,0,6,0,0.8,0.8,1.2,2.0,7,51,5,0.04,0.0,0.04,0.04,0.04,0.03,0.04,0.07,0.03,0.07,27,0.19999999999999996,Experienced,303,37,0
1752,Hugo Magnetti,FRA,MT,26,32,27,2323,25.8,1,0,1,1,0,0,5,0,0.8,0.8,0.4,1.2,21,80,20,0.03,0.0,0.04,0.04,0.04,0.03,0.02,0.05,0.03,0.05,32,0.19999999999999996,Peak,747,37,1
1753,Massadio Haïdara,MLI,DF,31,22,20,1678,18.6,0,0,0,0,0,0,3,2,0.3,0.3,0.5,0.8,44,77,76,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.04,0.02,0.04,22,-0.3,Experienced,1257,69,0
1754,Abdoulaye Niakhate Ndiaye,SEN,DF,22,22,19,1707,19.0,1,0,1,1,0,0,4,1,1.0,1.0,0.0,1.0,5,39,4,0.05,0.0,0.05,0.05,0.05,0.05,0.0,0.05,0.05,0.05,22,0.0,Prospect,12,88,2
1755,Pierre Lees-Melou,FRA,MT,31,20,17,1526,17.0,2,2,4,2,0,0,7,0,1.3,1.3,2.8,4.0,23,105,36,0.1,0.1,0.24,0.12,0.24,0.07,0.16,0.24,0.07,0.24,20,0.7,Experienced,1574,37,0
1756,Julien Le Cardinal,FRA,DF,26,16,15,1378,15.3,0,1,1,0,0,0,3,0,0.4,0.4,0.3,0.7,7,39,1,0.0,0.06,0.07,0.0,0.07,0.03,0.02,0.05,0.03,0.05,16,-0.4,Peak,980,37,1
1757,Romain Del Castillo,FRA,AT,28,26,14,1259,14.0,6,4,10,3,3,4,0,0,4.7,1.5,3.4,4.9,29,61,106,0.23,0.15,0.71,0.21,0.5,0.33,0.24,0.58,0.11,0.35,26,1.2999999999999998,Peak,1647,37,1
1758,Kamory Doumbia,MLI,"MT,AT",21,30,13,1322,14.7,3,2,5,3,0,0,1,0,2.7,2.7,1.2,3.9,17,72,54,0.1,0.07,0.34,0.2,0.34,0.19,0.08,0.27,0.19,0.27,30,0.2999999999999998,Prospect,1006,69,2
1759,Mama Samba Baldé,GNB,AT,28,27,12,1149,12.8,2,3,5,2,0,0,4,0,3.0,3.0,2.1,5.1,35,22,100,0.07,0.11,0.39,0.16,0.39,0.24,0.17,0.4,0.24,0.4,27,-1.0,Peak,1186,43,1
1760,Edimilson Fernandes,SUI,"MT,DF",28,19,12,1105,12.3,0,1,1,0,0,0,1,0,0.4,0.4,0.6,1.0,7,40,3,0.0,0.05,0.08,0.0,0.08,0.03,0.05,0.08,0.03,0.08,19,-0.4,Peak,524,91,1
1761,Romain Faivre,FRA,"MT,AT",26,20,10,899,10.0,3,2,5,2,1,1,2,0,2.6,1.8,1.9,3.7,24,44,49,0.15,0.1,0.5,0.2,0.4,0.26,0.19,0.45,0.18,0.37,20,0.3999999999999999,Peak,1649,37,1
1762,Jordan Amavi,FRA,DF,30,11,8,790,8.8,0,0,0,0,0,0,2,0,0.3,0.3,0.2,0.4,22,36,21,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05,11,-0.3,Experienced,932,37,0
1763,Luck Zogbé,CIV,DF,19,13,7,638,7.1,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,4,19,19,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06,13,-0.3,Prospect,1147,17,2
1764,Jonas Martin,FRA,MT,34,17,5,496,5.5,1,0,1,1,0,0,2,0,0.4,0.4,0.3,0.7,8,21,9,0.06,0.0,0.18,0.18,0.18,0.07,0.06,0.14,0.07,0.14,17,0.6,Veteran,924,37,3
1765,Soumaïla Coulibaly,FRA,DF,20,7,5,438,4.9,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,1,16,0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05,7,-0.2,Prospect,1747,37,2
1766,Ibrahim Salah,MAR,AT,22,12,4,358,4.0,1,1,2,1,0,0,0,0,0.6,0.6,0.6,1.1,15,7,40,0.08,0.08,0.5,0.25,0.5,0.15,0.14,0.29,0.15,0.29,12,0.4,Prospect,757,65,2
1767,Grégoire Coudert,FRA,GB,25,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,Peak,701,37,1
1768,Justin Bourgault,FRA,DF,18,2,2,122,1.4,1,0,1,1,0,0,0,0,0.1,0.1,0.1,0.2,2,4,12,0.5,0.0,0.74,0.74,0.74,0.05,0.1,0.15,0.05,0.15,2,0.9,Prospect,993,37,2
1769,Jérémy Le Douaron,FRA,AT,26,2,1,102,1.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,1,7,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.14,0.14,0.14,2,-0.2,Peak,998,37,1
1770,Bradley Locko,FRA,DF,22,2,1,97,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,2,2,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,2,0.0,Prospect,299,37,2
1771,Axel Camblan,FRA,"MT,AT",20,2,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,1,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.17,0.17,0.17,2,0.0,Prospect,235,37,2
1772,Hianga Mananga Mbock,FRA,MT,24,1,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,1,0.0,Peak,738,37,1
1773,Sérigné Diop,SEN,AT,19,2,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,Prospect,1773,88,2
1774,Cristian Cásseres Jr.,VEN,MT,24,32,31,2696,30.0,1,3,4,1,0,0,11,0,1.0,1.0,2.6,3.6,31,128,46,0.03,0.09,0.13,0.03,0.13,0.03,0.09,0.12,0.03,0.12,32,0.0,Peak,389,103,1
1775,Charlie Cresswell,ENG,DF,21,31,29,2592,28.8,3,1,4,3,0,0,5,0,3.3,3.3,1.7,5.0,8,69,13,0.1,0.03,0.14,0.1,0.14,0.11,0.06,0.17,0.11,0.17,31,-0.2999999999999998,Prospect,348,32,2
1776,Guillaume Restes,FRA,GB,19,29,29,2543,28.3,0,1,1,0,0,0,2,0,0.0,0.0,0.1,0.1,0,0,0,0.0,0.03,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.0,29,0.0,Prospect,705,37,2
1777,Mark McKenzie,USA,DF,25,30,29,2496,27.7,1,1,2,1,0,0,1,1,1.4,1.4,0.5,1.9,10,97,5,0.03,0.03,0.07,0.04,0.07,0.05,0.02,0.07,0.05,0.07,30,-0.3999999999999999,Peak,1234,101,1
1778,Vincent Sierro,SUI,MT,28,29,27,2402,26.7,5,1,6,3,2,2,4,0,4.2,2.7,3.6,6.3,15,147,27,0.17,0.03,0.22,0.11,0.15,0.16,0.14,0.29,0.1,0.24,29,0.7999999999999998,Peak,1882,91,1
1779,Yann Gboho,FRA,"MT,AT",23,31,27,2333,25.9,5,4,9,5,0,0,2,0,5.4,5.4,3.5,8.9,116,103,189,0.16,0.13,0.35,0.19,0.35,0.21,0.14,0.35,0.21,0.35,31,-0.40000000000000036,Prospect,1925,37,2
1780,Djibril Sidibé,FRA,DF,32,28,24,2101,23.3,0,3,3,0,0,0,1,0,0.4,0.4,2.9,3.3,16,121,50,0.0,0.11,0.13,0.0,0.13,0.02,0.13,0.14,0.02,0.14,28,-0.4,Experienced,502,37,0
1781,Gabriel Suazo,CHI,DF,26,30,23,2163,24.0,0,6,6,0,0,0,0,0,0.8,0.8,3.8,4.7,42,109,118,0.0,0.2,0.25,0.0,0.25,0.03,0.16,0.19,0.03,0.19,30,-0.8,Peak,654,16,1
1782,Zakaria Aboukhlal,MAR,"MT,AT",24,26,22,1901,21.1,7,2,9,6,1,2,4,0,10.2,8.6,1.6,10.2,34,22,164,0.27,0.08,0.43,0.28,0.38,0.48,0.07,0.56,0.41,0.48,26,-3.1999999999999993,Peak,1961,65,1
1783,Shavy Babicka,GAB,"MT,AT",24,30,11,1186,13.2,4,2,6,4,0,0,2,0,3.9,3.9,1.6,5.5,36,21,122,0.13,0.07,0.46,0.3,0.46,0.3,0.12,0.42,0.3,0.42,30,0.10000000000000009,Peak,1729,38,1
1784,Rasmus Nicolaisen,DEN,DF,27,7,7,623,6.9,0,1,1,0,0,0,0,0,0.4,0.4,0.2,0.7,3,27,2,0.0,0.14,0.14,0.0,0.14,0.06,0.03,0.1,0.06,0.1,7,-0.4,Peak,1603,28,1
1785,Ümit Akdag,ROU,DF,20,9,6,500,5.6,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.1,4,29,9,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.03,0.01,0.03,9,-0.1,Prospect,1986,85,2
1786,Kjetil Haug,NOR,GB,26,6,5,498,5.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,Peak,1054,77,1
1787,Rafik Messali,FRA,DF,21,13,5,456,5.1,0,1,1,0,0,0,0,0,0.3,0.3,1.0,1.3,13,21,29,0.0,0.08,0.2,0.0,0.2,0.05,0.2,0.25,0.05,0.25,13,-0.3,Prospect,1592,37,2
1788,Denis Genreau,AUS,MT,25,8,2,222,2.5,0,0,0,0,0,0,0,0,0.3,0.3,0.5,0.8,9,13,7,0.0,0.0,0.0,0.0,0.0,0.12,0.19,0.31,0.12,0.31,8,-0.3,Peak,471,5,1
1789,Niklas Schmidt,GER,MT,26,9,2,205,2.3,0,1,1,0,0,0,0,0,0.1,0.1,0.7,0.8,2,23,1,0.0,0.11,0.44,0.0,0.44,0.03,0.31,0.34,0.03,0.34,9,-0.1,Peak,1452,41,1
1790,Miha Zajc,SVN,MT,30,19,1,262,2.9,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,7,24,9,0.0,0.0,0.0,0.0,0.0,0.07,0.03,0.1,0.07,0.1,19,-0.2,Experienced,1345,94,0
1791,Noah Edjouma,FRA,"MT,AT",18,10,1,171,1.9,2,0,2,2,0,0,0,1,1.3,1.3,0.1,1.3,8,7,17,0.2,0.0,1.05,1.05,1.05,0.67,0.03,0.7,0.67,0.7,10,0.7,Prospect,1463,37,2
1792,Logan Costa,CPV,DF,23,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,1,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,1,0.0,Prospect,1112,22,2
1793,Álex Domínguez,ESP,GB,26,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,Peak,1965,34,1
1794,Edhy Zuliani,FRA,DF,19,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,Prospect,523,37,2
1795,Naatan Skyttä,FIN,AT,22,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,Prospect,1396,36,2
1796,Donovan Léon,GUF,GB,31,32,32,2880,32.0,0,2,2,0,0,0,4,0,0.0,0.0,0.4,0.4,0,1,0,0.0,0.06,0.06,0.0,0.06,0.0,0.01,0.01,0.0,0.01,32,0.0,Experienced,514,45,0
1797,Gaëtan Perrin,FRA,"MT,AT",28,34,31,2691,29.9,10,11,21,10,0,0,2,0,6.1,6.1,7.8,13.9,83,142,125,0.29,0.32,0.7,0.33,0.7,0.2,0.26,0.47,0.2,0.47,34,3.9000000000000004,Peak,665,37,1
1798,Jubal,BRA,DF,30,30,30,2640,29.3,6,0,6,3,3,4,7,0,5.2,2.0,0.9,2.9,1,33,3,0.2,0.0,0.2,0.1,0.1,0.18,0.03,0.21,0.07,0.1,30,0.7999999999999998,Experienced,973,13,0
1799,Clément Akpa,CIV,DF,22,31,29,2486,27.6,0,1,1,0,0,0,7,0,0.3,0.3,0.9,1.2,27,74,24,0.0,0.03,0.04,0.0,0.04,0.01,0.03,0.04,0.01,0.04,31,-0.3,Prospect,376,17,2
1800,Elisha Owusu,GHA,MT,26,28,28,2344,26.0,1,3,4,1,0,0,7,0,0.4,0.4,1.0,1.4,8,78,33,0.04,0.11,0.15,0.04,0.15,0.01,0.04,0.05,0.01,0.05,28,0.6,Peak,537,42,1
1801,Gideon Mensah,GHA,DF,26,29,26,2280,25.3,0,1,1,0,0,0,2,0,0.2,0.2,2.6,2.8,52,93,101,0.0,0.03,0.04,0.0,0.04,0.01,0.1,0.11,0.01,0.11,29,-0.2,Peak,682,42,1
1802,Ki-Jana Hoever,NED,DF,22,30,26,2124,23.6,1,2,3,1,0,0,4,1,0.5,0.5,2.7,3.2,59,79,128,0.03,0.07,0.13,0.04,0.13,0.02,0.11,0.13,0.02,0.13,30,0.5,Prospect,1041,74,2
1803,Hamed Junior Traorè,CIV,MT,24,26,26,2093,23.3,10,2,12,10,0,0,5,0,7.9,7.9,2.7,10.6,66,99,146,0.38,0.08,0.52,0.43,0.52,0.34,0.12,0.46,0.34,0.46,26,2.0999999999999996,Peak,712,17,1
1804,Sinaly Diomande,CIV,DF,23,23,22,1945,21.6,3,2,5,3,0,0,6,0,1.1,1.1,0.6,1.7,8,72,8,0.13,0.09,0.23,0.14,0.23,0.05,0.03,0.08,0.05,0.08,23,1.9,Prospect,1741,17,2
1805,Gabriel Osho,NGA,DF,25,20,20,1654,18.4,1,0,1,1,0,0,1,1,1.0,1.0,0.1,1.1,12,43,2,0.05,0.0,0.05,0.05,0.05,0.05,0.01,0.06,0.05,0.06,20,0.0,Peak,653,75,1
1806,Kévin Danois,FRA,MT,20,22,16,1460,16.2,0,0,0,0,0,0,1,0,1.5,1.5,2.2,3.7,19,95,50,0.0,0.0,0.0,0.0,0.0,0.09,0.13,0.23,0.09,0.23,22,-1.5,Prospect,1069,37,2
1807,Han-Noah Massengo,FRA,MT,23,17,11,1046,11.6,0,0,0,0,0,0,5,0,0.4,0.4,0.4,0.8,13,28,13,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.07,0.03,0.07,17,-0.4,Prospect,716,37,2
1808,Theo Bair,CAN,AT,24,29,11,939,10.4,2,1,3,2,0,0,1,0,3.0,3.0,1.2,4.2,15,16,42,0.07,0.03,0.29,0.19,0.29,0.29,0.11,0.4,0.29,0.4,29,-1.0,Peak,1789,14,1
1809,Paul Joly,FRA,DF,24,26,10,1009,11.2,0,1,1,0,0,0,3,1,0.6,0.6,1.3,1.9,28,51,61,0.0,0.04,0.09,0.0,0.09,0.05,0.12,0.17,0.05,0.17,26,-0.6,Peak,1537,37,1
1810,Ado Onaiwu,JPN,"MT,AT",28,31,9,957,10.6,4,1,5,4,0,0,1,1,4.0,4.0,1.1,5.1,17,33,74,0.13,0.03,0.47,0.38,0.47,0.37,0.1,0.47,0.37,0.47,31,0.0,Peak,32,56,1
1811,Rayan Raveloson,MAD,"MT,DF",27,13,7,724,8.0,1,0,1,1,0,0,3,0,0.8,0.8,0.2,1.0,5,31,12,0.08,0.0,0.12,0.12,0.12,0.1,0.02,0.12,0.1,0.12,13,0.19999999999999996,Peak,1606,64,1
1812,Assane Dioussé,SEN,MT,26,17,7,663,7.4,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,1,33,6,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,17,-0.1,Peak,230,88,1
1813,Florian Ayé,FRA,AT,27,26,4,575,6.4,2,0,2,2,0,0,0,0,1.9,1.9,0.1,2.0,5,7,30,0.08,0.0,0.31,0.31,0.31,0.3,0.02,0.32,0.3,0.32,26,0.10000000000000009,Peak,619,37,1
1814,Fredrik Oppegard,NOR,DF,21,9,2,273,3.0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,5,7,11,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.07,0.04,0.07,9,-0.1,Prospect,642,77,2
1815,Théo De Percin,MTQ,GB,23,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,Prospect,1804,73,2
1816,Rudy Matondo,FRA,MT,16,5,0,66,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,Prospect,1659,37,2
1817,Théo Pellenard,FRA,DF,30,2,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,Experienced,1805,37,0
1818,Aristide Zossou,CIV,MT,19,3,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,Prospect,200,17,2
1819,Eros Maddy,NED,DF,23,2,0,15,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.52,0.0,0.52,2,0.0,Prospect,572,74,2
1820,Loïc N'Gatta,FRA,DF,20,2,0,13,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,Prospect,1123,37,2
1821,Yoann Cissé,FRA,MT,19,2,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,Prospect,1944,37,2
1822,Ben Viadere,FRA,MT,18,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.85,0.0,0.85,1,0.0,Prospect,260,37,2
1823,Ludovic Blas,FRA,"MT,AT",26,29,26,2293,25.5,6,8,14,6,0,0,6,0,5.0,5.0,4.6,9.6,83,116,184,0.21,0.28,0.55,0.24,0.55,0.2,0.18,0.38,0.2,0.38,29,1.0,Peak,1149,37,1
1824,Azor Matusiwa,NED,MT,26,29,23,2078,23.1,1,3,4,1,0,0,3,0,1.2,1.2,1.8,3.1,19,134,26,0.03,0.1,0.17,0.04,0.17,0.05,0.08,0.13,0.05,0.13,29,-0.19999999999999996,Peak,243,74,1
1825,Hans Hateboer,NED,DF,30,26,18,1684,18.7,0,0,0,0,0,0,3,0,0.4,0.4,1.5,1.9,28,92,63,0.0,0.0,0.0,0.0,0.0,0.02,0.08,0.1,0.02,0.1,26,-0.4,Experienced,717,74,0
1826,Brice Samba,FRA,GB,30,17,17,1529,17.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,Experienced,307,37,0
1827,Steve Mandanda,FRA,GB,39,18,17,1486,16.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,18,0.0,Veteran,1761,37,3
1828,Christopher Wooh,CMR,DF,22,20,17,1456,16.2,0,0,0,0,0,0,6,1,1.3,1.3,0.1,1.4,14,59,2,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.09,0.08,0.09,20,-1.3,Prospect,371,18,2
1829,Lilian Brassier,FRA,DF,24,14,14,1234,13.7,1,1,2,1,0,0,1,0,1.5,1.5,0.3,1.8,21,75,11,0.07,0.07,0.15,0.07,0.15,0.11,0.02,0.13,0.11,0.13,14,-0.5,Peak,1108,37,1
1830,Leo Skiri Østigård,NOR,DF,24,16,14,1227,13.6,1,0,1,1,0,0,4,0,0.7,0.7,0.2,0.9,3,50,1,0.06,0.0,0.07,0.07,0.07,0.05,0.02,0.07,0.05,0.07,16,0.30000000000000004,Peak,1092,77,1
1831,Jordan James,WAL,MT,20,23,14,1178,13.1,0,1,1,0,0,0,4,0,0.9,0.9,1.9,2.8,21,67,15,0.0,0.04,0.08,0.0,0.08,0.07,0.15,0.21,0.07,0.21,23,-0.9,Prospect,934,104,2
1832,Djaoui Cissé,FRA,MT,20,14,14,1121,12.5,1,0,1,1,0,0,4,0,0.4,0.4,0.2,0.7,16,84,14,0.07,0.0,0.08,0.08,0.08,0.03,0.02,0.05,0.03,0.05,14,0.6,Prospect,500,37,2
1833,Amine Gouiri,ALG,"MT,AT",24,19,11,1037,11.5,3,2,5,3,0,0,2,0,3.5,3.5,0.4,3.9,22,46,63,0.16,0.11,0.43,0.26,0.43,0.3,0.03,0.34,0.3,0.34,19,-0.5,Peak,122,1,1
1834,Anthony Rouault,FRA,DF,23,11,11,972,10.8,0,0,0,0,0,0,3,0,0.5,0.5,0.0,0.5,3,36,0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,11,-0.5,Prospect,176,37,2
1835,Jérémy Jacquet,FRA,DF,19,11,11,927,10.3,0,1,1,0,0,0,0,0,0.8,0.8,0.8,1.6,8,40,4,0.0,0.09,0.1,0.0,0.1,0.08,0.08,0.16,0.08,0.16,11,-0.8,Prospect,997,37,2
1836,Alidu Seidu,GHA,DF,24,11,10,803,8.9,0,0,0,0,0,0,4,0,0.1,0.1,0.3,0.4,23,41,17,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.01,0.05,11,-0.1,Peak,106,42,1
1837,Seko Fofana,CIV,MT,29,16,9,844,9.4,1,1,2,1,0,0,3,0,1.8,1.8,1.2,2.9,32,72,38,0.06,0.06,0.21,0.11,0.21,0.19,0.13,0.31,0.19,0.31,16,-0.8,Experienced,1707,17,0
1838,Albert Grønbaek,DEN,"MT,AT",23,16,9,813,9.0,2,1,3,2,0,0,1,0,1.5,1.5,1.0,2.5,23,30,58,0.12,0.06,0.33,0.22,0.33,0.17,0.12,0.28,0.17,0.28,16,0.5,Prospect,54,28,2
1839,Glen Kamara,FIN,MT,28,13,8,662,7.4,0,1,1,0,0,0,0,0,0.2,0.2,0.2,0.3,5,34,22,0.0,0.08,0.14,0.0,0.14,0.02,0.02,0.05,0.02,0.05,13,-0.2,Peak,694,36,1
1840,Mikayil Ngor Faye,SEN,DF,20,11,7,688,7.6,0,0,0,0,0,0,1,1,0.4,0.4,0.0,0.4,12,35,4,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,11,-0.4,Prospect,1348,88,2
1841,Mohamed Meité,FRA,AT,16,12,5,544,6.0,2,0,2,2,0,0,0,0,2.5,2.5,0.6,3.1,8,6,37,0.17,0.0,0.33,0.33,0.33,0.41,0.1,0.51,0.41,0.51,12,-0.5,Prospect,1372,37,2
1842,Baptiste Santamaria,FRA,MT,29,10,5,482,5.4,0,1,1,0,0,0,1,0,0.1,0.1,0.3,0.4,3,28,9,0.0,0.1,0.19,0.0,0.19,0.02,0.05,0.07,0.02,0.07,10,-0.1,Experienced,250,37,0
1843,Ismaël Koné,CAN,MT,22,13,4,469,5.2,2,1,3,2,0,0,1,0,0.2,0.2,1.3,1.5,16,30,16,0.15,0.08,0.58,0.38,0.58,0.03,0.25,0.28,0.03,0.28,13,1.8,Prospect,789,14,2
1844,Mahamadou Nagida,CMR,DF,19,12,4,430,4.8,2,0,2,2,0,0,1,0,1.5,1.5,0.3,1.8,22,15,55,0.17,0.0,0.42,0.42,0.42,0.31,0.07,0.38,0.31,0.38,12,0.5,Prospect,1179,18,2
1845,Kazeem Olaigbe,BEL,"MT,AT",21,10,3,299,3.3,0,2,2,0,0,0,0,0,0.3,0.3,1.9,2.2,17,18,32,0.0,0.2,0.6,0.0,0.6,0.09,0.57,0.67,0.09,0.67,10,-0.3,Prospect,1016,9,2
1846,Carlos Gómez,COL,"MT,DF",21,17,2,381,4.2,3,0,3,3,0,0,1,0,1.3,1.3,0.2,1.6,9,9,47,0.18,0.0,0.71,0.71,0.71,0.31,0.06,0.37,0.31,0.37,17,1.7,Prospect,333,20,2
1847,Kyogo Furuhashi,JPN,AT,29,6,1,123,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,3,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,6,-0.1,Experienced,1068,56,0
1848,Benjamin Bourigeaud,FRA,MT,30,1,1,80,0.9,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,0,4,4,1.0,0.0,1.13,1.13,1.13,0.17,0.0,0.17,0.17,0.17,1,0.8,Experienced,268,37,0
1849,Henrik Meister,DEN,AT,20,4,0,63,0.7,1,0,1,1,0,0,0,0,0.1,0.1,0.3,0.3,2,1,4,0.25,0.0,1.43,1.43,1.43,0.09,0.37,0.45,0.09,0.45,4,0.9,Prospect,734,28,2
1850,Naouirou Ahamada,FRA,"MT,AT",22,3,0,58,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,3,0.0,Prospect,1406,37,2
1851,Gauthier Gallon,FRA,GB,31,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,Experienced,660,37,0
1852,Ayanda Sishuba,BEL,AT,19,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,Prospect,238,9,2
1853,Matthis Abline,FRA,AT,21,34,33,2768,30.8,9,2,11,8,1,1,3,0,8.5,7.7,3.8,11.5,75,48,169,0.26,0.06,0.36,0.26,0.33,0.28,0.12,0.4,0.25,0.37,34,0.5,Prospect,1293,37,2
1854,Pedro Chirivella,ESP,MT,27,30,28,2348,26.1,0,2,2,0,0,0,6,0,0.5,0.5,1.8,2.2,16,170,25,0.0,0.07,0.08,0.0,0.08,0.02,0.07,0.09,0.02,0.09,30,-0.5,Peak,1545,34,1
1855,Douglas,BRA,MT,27,28,28,2307,25.6,4,2,6,4,0,0,8,0,3.4,3.4,1.5,4.9,14,125,34,0.14,0.07,0.23,0.16,0.23,0.13,0.06,0.19,0.13,0.19,28,0.6000000000000001,Peak,515,13,1
1856,Kelvin Amian,FRA,DF,26,30,23,2165,24.1,1,0,1,1,0,0,5,0,1.0,1.0,0.8,1.8,32,73,77,0.03,0.0,0.04,0.04,0.04,0.04,0.03,0.08,0.04,0.08,30,0.0,Peak,1020,37,1
